0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.4569069202,0.5726078151,0,0,0,0,0.6382958146,0.3740438959,0.5441600933,0,1,0,0,0.3682570749,0,0,0.5131259743,0,0.6735790328,0.413086525,0.393387007,0.632287077,0.197939265,0,0.3128246092,0.4417505235,0.3175630033,0.4436142352,0,0,0,0.4250347194,0.4635598163,0.4380117031,0,0.2767250859,0,0,0.6002667434,0.4244991103,0.5645770329,0.4670597897,0.5474538609,0.499007305,0.4103870927,0.531066011,0.5699799426,0.343902233,0.4301609936,0.4189835862,0,0.777597772,0,0,0.2169301889,0.5419526821,0.5615001396,0,0,0.3016142529,0,0,0,0,0,0.4703425925,0,0,0,0.3632023004,0.4405167984,0,0,0,0,0,0,0,0.2995044014,0,0.3112051155,0,0,0,0.3264514231,0,0,0,0,0.2344725492,0,0,0,0,0.3485288569,0,0,0,0,0.1820808056,0.5346957578,0.5891791157,0,0,0,0,0.4958379327,0.5950407762,0.5114290398,0.4378475092,0,0,0,0.5546126958,0.4250032738,0.4757824418,0,0.2630680718,0.4102077574,0.503664903,0.4091589214,0.3607603369,0.356488754,0,0.2988260246,0.3742438994,0.2721501748,0.6187365976
0,0,0.7249824714,0.5865882779,0.5027027023,0.6659673247,0,0,0,0.716222563,0,1,0.6676671031,0,0.6042953128,0.5647063324,0,0.7049725266,0,0,0,0,0.6221741742,0.7502933994,0,0,0,0,0,0,0.7379499635,0,0,0,0,0,0,0.6237970846,0,0,0,0,0,0,0,0,0,0,0,0.3045771171,0.6034447875,0,0.5590180351,0.5729175669,0,0,0,0.6476986009,0,0,0,0,0.5768543498,0.7319654385,0,0,0.5118942095,0.5113229738,0.4410304103,0,0,0,0.243891797,0.2828033691,0,0.6130442795,0,0,0,0,0,0,0,0.2519836417,0,0,0,0.3989642517,0,0,0.3194933857,0,0.3454570661,0.3466067505,0,0.4166986468,0.7723537212,0.4118237202,0.4134467514,0,0,0,0,0,0,0.8204178867,0,0,0,0,0.797609715,0.7830680209,0.5879060863,0,0,0,0.4679373335,0,0,0,0,0,0,0.7535066738,0,0,0,0
0,0,0.247132487,0,0,0.226850866,0.2126910978,0.207283044,0,0.2680696919,0,0.6676671031,1,0.2661966644,0,0.1741661293,0,0.2180926509,0,0.2981804444,0.3147214709,0,0.3907701864,0.3327548343,0.4821086483,0,0.4628216717,0,0.3952369998,0.733749883,0.3637845625,0.2291744776,0,0,0.4979054698,0.2296031763,0.5583501149,0.1806305661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8317351749,0.1907176951,0,0,0.2041430115,0.3978072,0.2411941403,0,0,0,0.4016416888,0,0,0.2168804438,0.2180729083,0.4049419152,0,0,0.4990703551,0.4541133454,0.3889964772,0.3140549353,0.5753188975,0.6335715311,0,0,0.47439279,0,0.3166454197,0.3070427324,0.5537172736,0,0,0,0.4346741317,0.2429944473,0.2063904089,0.5292914973,0.4202241793,0,0,0,0.7090021316,0.7096639972,0,0,0,0,0,0,0.2899178403,0.4734173181,0.576662305,0,0,0,0,0.6353115115,0.4810170854,0.7045041841,0,0,0,0.6891516679,0,0,0,0,0,0.3625218345,0.2894396994,0,0,0,0
0.3522639087,0.7249525987,0,0,0,0,0.7769608138,0.974726557,0.2261567593,0,0.3682570749,0,0.2661966644,1,0,0,0.880486759,0,0.7704030994,0.8909890304,0.9544431726,0.5252271803,0,0,0.9043551113,0.7114520797,0.8421030629,0.8432338413,0.8178405854,0.6934939754,0,0.7457792343,0,0.9256207954,0.9165600162,0.9568951333,0.673477162,0,0,0.9143275482,0.859043546,0.7036806099,0,0.7650642843,0.7649830712,0.7634375789,0.8859521373,0.8912890768,0.9141512271,0.2089195672,0,0.3851071966,0,0.517457801,0.8293741266,0.7672289765,0.4359879961,0,0.9138391393,0.9653956045,0.7735966257,0.8441034548,0,0,0.7584143882,0.8597635777,0,0,0.3929358125,0.933118287,0.839630489,0.8589650283,0.531688823,0.3941608564,0.8345406308,0,0.6069940386,0.8381956027,0.8841015271,0.7200925427,0.5549907161,0.5622053574,0.7387041396,0.6642108843,0.9320148938,0.6877013839,0.8804433594,0,0.8240283536,0.9272137453,0.4315108887,0.8037805009,0,0,0.9076914979,0.6254497086,0,0,0,0.6748615605,0.7364629151,0.3485829014,0,0.8984925786,0.9012330131,0,0.8494838544,0.567690875,0.8588406185,0.6064611404,0,0,0.372028227,0.7493341215,0,0.8092555505,0.6089945391,0,0.7982181079,0.8520839278,0.7690955321,0.882381869,0.7613720225,0,0,0.2329818097,0.8241754239,0.6366988189
0,0,0.8336334664,0.8247060913,0.5665311035,0.7504520904,0,0,0,0.858210679,0,0.6042953128,0,0,1,0.8593791194,0,0.8670745671,0,0,0,0,0.6754438599,0.8392422788,0,0,0,0,0,0,0.690781422,0,0,0,0,0,0,0.8178942575,0,0,0,0,0,0,0,0,0,0,0,0.5841035781,0.7629224285,0,0.6583199057,0,0,0,0,0.8900984748,0,0,0,0,0.7674234926,0.6861918915,0,0,0.4256135414,0.4224557363,0.3181440502,0,0,0,0,0,0,0.2499004837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4117634178,0.4126449154,0,0,0.5396202585,0.6013807167,0.6849360918,0,0,0,0,0,0,0.6417075911,0,0,0,0,0.6177983356,0.7912696876,0.2907005357,0,0,0,0.2341562515,0,0,0,0,0,0,0.7216073422,0.1820703312,0,0,0
0,0,0.6601180833,0.6482708025,0.4866625767,0.667229217,0,0,0,0.6848065645,0,0.5647063324,0.1741661293,0,0.8593791194,1,0,0.7862063591,0.2080768868,0.188550332,0,0,0.7355553754,0.8308332366,0,0,0.2441071041,0,0,0,0.5025321428,0,0,0,0,0,0,0.7120693636,0,0,0,0,0,0,0,0,0,0,0,0.5364246838,0.5585441106,0,0.4211235881,0.2077778442,0,0,0,0.6676604576,0,0,0,0,0.564034946,0.6641116647,0,0,0.2168309921,0.2146750223,0.4235207235,0,0,0,0,0.184503628,0,0.1896893302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2413221259,0.2418805756,0,0.2684415812,0.484503469,0.4084041565,0.5000078987,0,0,0,0,0,0,0.4816423342,0,0,0,0,0.5205127295,0.6312893125,0.4154927986,0,0,0,0.3864221585,0,0,0,0,0,0,0.7256319673,0,0,0,0
0.6163913726,0.8634479148,0,0,0,0,0.8091147821,0.8964710806,0.5865586215,0,0.5131259743,0,0,0.880486759,0,0,1,0,0.8193022755,0.776728669,0.8907770077,0.8177175549,0,0,0.8452780471,0.9064398851,0.6920235483,0.7368505485,0.5753910112,0.5143570625,0,0.8479694886,0,0.8829426398,0.7386224648,0.8347914895,0.5601276177,0,0.4472741012,0.8913253513,0.904901228,0.7696437637,0.2753788545,0.8186222899,0.7256629367,0.8238807266,0.9310167145,0.8266676571,0.9156552903,0.298843854,0,0.5559242336,0,0.2033523882,0.7579764466,0.8879667806,0.6724578808,0,0.6899255641,0.8501682354,0.6924960962,0.7442656598,0,0,0.533312223,0.8719851894,0,0,0,0.8536277071,0.8577548635,0.6569115538,0.2041354318,0,0.628664439,0,0.382468134,0.6436683747,0.8403233617,0.5117642608,0.5185076215,0.2844858949,0.5298107842,0.358549554,0.8523936857,0.4395335913,0.7268872668,0,0.621972231,0.7733412052,0.2035182158,0.6118416181,0,0,0.8301787256,0.3752086352,0,0,0,0.637030289,0.8120152702,0.5130943795,0,0.6975060319,0.7788463058,0,0.902027539,0.7121907803,0.8931415086,0.7094370306,0,0,0.2232012071,0.8650932298,0.3554194361,0.8463958206,0.3481728811,0,0.8201172942,0.9024345439,0.7947581936,0.8981094334,0.6495386826,0,0,0.3143285801,0.7103210235,0.7765008811
0,0,0.9195360638,0.9156157779,0.5992525592,0.7483890464,0,0,0,0.9321866338,0,0.7049725266,0.2180926509,0,0.8670745671,0.7862063591,0,1,0,0,0,0,0.7997265538,0.9415125178,0,0,0,0,0,0,0.7856327189,0,0,0,0,0,0,0.7936532137,0,0,0,0,0,0,0,0,0,0,0,0.4061007632,0.7899948681,0,0.7267479988,0,0,0,0,0.8811908968,0,0,0,0,0.7896168728,0.587484136,0,0,0.4501331141,0.447726669,0,0,0,0,0,0,0,0.2797714068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4192485925,0.4206767347,0,0,0.4506913793,0.6601171055,0.732867653,0,0,0,0,0,0,0.7716034532,0,0,0,0,0.6464820396,0.863289538,0.2786749457,0,0,0,0,0,0,0,0,0,0,0.7817687759,0.3106281187,0,0,0
0.4586173216,0.6778429666,0,0,0,0,0.7165511123,0.7655509661,0.4316430044,0,0.6735790328,0,0,0.7704030994,0,0.2080768868,0.8193022755,0,1,0.8916353327,0.8104392689,0.6560327669,0.3829046998,0,0.7340126125,0.6674972943,0.8215372647,0.8024413343,0.5180906082,0.2749525961,0,0.6777456615,0,0.8065907828,0.6530937956,0.7242924986,0.2587023515,0,0.3323693403,0.7748638725,0.7957382063,0.6260752338,0.3367765719,0.6724858404,0.6174109839,0.6713319118,0.7750488562,0.6639199455,0.7796789514,0.4985741908,0,0.5003077816,0,0.234561316,0.5679270742,0.7142963242,0.5072382088,0,0.6195802304,0.7350640944,0.4875533763,0.5530771515,0,0,0.639059564,0.7116164673,0,0,0.2015841941,0.7344222552,0.6791665112,0.4612021633,0.1976972023,0,0.4976111851,0,0,0.5694789757,0.6506613185,0.3728306316,0.3687891517,0.2539124762,0.4389267378,0.2939912524,0.7088793094,0.3726146634,0.5705015747,0,0.5342565751,0.6725844567,0,0.5593672655,0,0,0.7165301142,0.3870594855,0,0,0,0.5553503727,0.6689554267,0.4449306752,0,0.5817596398,0.6320228016,0,0.7029450741,0.5707815792,0.7559527277,0.5883162325,0,0,0.2377874373,0.7083176581,0.3232953651,0.7111653693,0.4516349549,0,0.662891149,0.7394659008,0.6383119491,0.6918773849,0.6991090857,0,0,0.2616804041,0.6484102295,0.6017976251
0.3269540254,0.5633721912,0,0,0,0,0.6778846915,0.8428883217,0.1902283288,0,0.413086525,0,0.2981804444,0.8909890304,0,0.188550332,0.776728669,0,0.8916353327,1,0.8861997866,0.4605240436,0.3352433128,0,0.8390945781,0.5801026083,0.9365085811,0.8530372134,0.7680851742,0.5229808882,0,0.6821072343,0,0.840997435,0.8519714168,0.8497884035,0.4706812557,0,0,0.8062026077,0.7390952663,0.5544018776,0.1816764594,0.6099732287,0.6098026558,0.6042645268,0.7483892558,0.7699520496,0.8013913307,0.4194645104,0,0.2702707446,0,0.5523084108,0.6352923179,0.6229615041,0.312435217,0,0.8421465014,0.8479714976,0.5993664151,0.6641000466,0,0,0.7990522916,0.6976820344,0,0,0.5025006482,0.8075361819,0.6672391153,0.6994579634,0.5179953816,0.4199290041,0.7158295423,0,0.4390080931,0.7518306753,0.7098316124,0.6578643261,0.3862008163,0.5316887043,0.674611809,0.6240330608,0.7944104983,0.6283405853,0.7295631464,0,0.7377106196,0.8303460044,0.4424065602,0.7685028819,0,0,0.7894704273,0.6906389617,0,0,0,0.5924819584,0.5774487151,0.2826023341,0,0.7933280866,0.7720436093,0,0.6818897917,0.4040467328,0.7221444466,0.5075340461,0,0,0.4634512574,0.5942544796,0,0.6702054887,0.7002198276,0,0.6371298847,0.6909850152,0.6000457478,0.707095433,0.7404200992,0,0,0,0.7061046919,0.4629724138
